Index,trade.status,trade.balance,Year,country
3468,None,0,2014,St Pierre and Miquelon
3273,Great,720400000,2014,Afghanistan
3276,Great,2600000,2014,Andorra
3278,Great,57900000,2014,Anguilla
3279,Great,208800000,2014,Antigua and Barbuda
3280,Great,6582600000,2014,Argentina
3282,Great,1297600000,2014,Aruba
3283,Great,15910000000,2014,Australia
3286,Great,2792500000,2014,Bahamas
3289,Great,488800000,2014,Barbados
3292,Great,139900000,2014,Belize
3293,Great,775600000,2014,Benin
3294,Great,609800000,2014,Bermuda
3295,Great,2100000,2014,Bhutan
3301,Great,375900000,2014,British Virgin Islands
3302,Great,517400000,2014,Brunei
3304,Great,66100000,2014,Burkina Faso
3307,Great,5600000,2014,Cabo Verde
3311,Great,790000000,2014,Cayman Islands
3312,Great,30899999.999999996,2014,Central African Republic
3322,Great,4700000,2014,Cook Islands
3328,Great,87700000,2014,Cyprus
3331,Great,99100000,2014,Djibouti
3332,Great,62700000,2014,Dominica
3335,Great,5062400000,2014,Egypt
3337,Great,319900000,2014,Equatorial Guinea
3338,Great,5200000,2014,Eritrea
3340,Great,1462200000,2014,Ethiopia
3346,Great,280600000,2014,French Guiana
3347,Great,89400000,2014,French Polynesia
3348,Great,7800000.000000001,2014,French Southern and Antarctic Lands
3350,Great,41200000,2014,Gambia
3354,Great,914600000,2014,Ghana
3355,Great,2530700000,2014,Gibraltar
3357,Great,7200000,2014,Greenland
3358,Great,74300000,2014,Grenada
3359,Great,423700000,2014,Guadeloupe
3362,Great,2800000,2014,Guinea-Bissau
3367,Great,34988900000,2014,Hong Kong
3377,Great,1896800000,2014,Jamaica
3381,Great,1050200000,2014,Kenya
3385,Great,15700000,2014,Kosovo
3387,Great,69300000,2014,Kyrgyzstan
3390,Great,1196300000,2014,Lebanon
3392,Great,101000000,2014,Liberia
3393,Great,307100000,2014,Libya
3396,Great,761400000,2014,Luxembourg
3397,Great,359000000,2014,Macau
3403,Great,33700000,2014,Mali
3404,Great,744400000,2014,Malta
3405,Great,80200000,2014,Marshall Islands
3406,Great,208400000,2014,Martinique
3411,Great,41100000,2014,Micronesia
3413,Great,95500000,2014,Monaco
3414,Great,152700000,2014,Mongolia
3415,Great,15500000,2014,Montenegro
3416,Great,8500000,2014,Montserrat
3417,Great,1110099999.9999998,2014,Morocco
3418,Great,275300000,2014,Mozambique
3422,Great,22257000000,2014,Netherlands
3426,Great,53900000,2014,Niger
3431,Great,1039800000,2014,Oman
3433,Great,20000000,2014,Palau
3434,Great,10036400000,2014,Panama
3436,Great,1919100000,2014,Paraguay
3442,Great,3431300000,2014,Qatar
3447,Great,17700000,2014,Samoa
3451,Great,147200000,2014,Senegal
3453,Great,8600000,2014,Seychelles
3454,Great,59200000,2014,Sierra Leone
3456,Great,732600000,2014,Sint Maarten
3460,Great,35200000,2014,Somalia
3462,Great,46500000,2014,South Sudan
3466,Great,128700000,2014,St Kitts and Nevis
3467,Great,675500000,2014,St Lucia
3469,Great,102200000,2014,St Vincent and the Grenadines
3470,Great,65300000,2014,Sudan
3478,Great,20900000,2014,Tajikistan
3479,Great,216100000,2014,Tanzania
3481,Great,1100000,2014,Timor-Leste
3482,Great,1015600000,2014,Togo
3484,Great,17300000,2014,Tonga
3488,Great,435300000,2014,Turkmenistan
3489,Great,273600000,2014,Turks and Caicos Islands
3490,Great,500000,2014,Tuvalu
3493,Great,19255100000,2014,United Arab Emirates
3495,Great,1149500000,2014,Uruguay
3496,Great,198500000,2014,Uzbekistan
3497,Great,14100000,2014,Vanuatu
3498,Great,1800000,2014,Vatican City
3503,Great,200000,2014,Western Sahara
3504,Great,327700000,2014,Yemen
3505,Great,58500000,2014,Zambia
3291,Good,13904300000,2014,Belgium
3299,Good,11892800000,2014,Brazil
3306,Good,1200000,2014,Burundi
3309,Good,115100000,2014,Cameroon
3314,Good,7038999999.999998,2014,Chile
3317,Good,2800000,2014,Cocos (Keeling) Islands
3319,Good,1400000,2014,Comoros
3321,Good,27400000,2014,Congo (Kinshasa)
3326,Good,299100000,2014,Cuba
3327,Good,242600000,2014,Curacao
3333,Good,3402400000,2014,Dominican Republic
3336,Good,908700000,2014,El Salvador
3352,Good,235500000,2014,Georgia
3360,Good,1747000000,2014,Guatemala
3364,Good,368600000,2014,Haiti
3365,Good,1200000,2014,Heard and McDonald Islands
3366,Good,1317300000,2014,Honduras
3369,Good,66100000,2014,Iceland
3372,Good,186500000,2014,Iran
3379,Good,649900000,2014,Jordan
3382,Good,700000,2014,Kiribati
3383,Good,24000000,2014,"Korea, North"
3389,Good,153700000,2014,Latvia
3402,Good,5800000,2014,Maldives
3407,Good,47800000,2014,Mauritania
3409,Good,12200000,2014,Mayotte
3419,Good,86500000,2014,Namibia
3420,Good,200000,2014,Nauru
3423,Good,36500000,2014,New Caledonia
3427,Good,2128600000,2014,Nigeria
3429,Good,800000,2014,Norfolk Island
3435,Good,43100000,2014,Papua New Guinea
3437,Good,3976900000,2014,Peru
3455,Good,13811200000.000002,2014,Singapore
3471,Good,66000000,2014,Suriname
3472,Good,3400000,2014,"Svalbard, Jan Mayen Island"
3483,Good,500000,2014,Tokelau
3486,Good,310500000,2014,Tunisia
3487,Good,4288400000,2014,Turkey
3491,Good,32400000,2014,Uganda
3492,Good,305800000,2014,Ukraine
3501,Good,400000,2014,Wallis and Futuna
3507,Good,100000,2014,Unidentified
3287,Ok,94400000,2014,Bahrain
3305,Ok,200000,2014,Burma
3318,Ok,1806900000,2014,Colombia
3351,Ok,0,2014,Gaza Strip Administered by Israel
3424,Ok,279000000,2014,New Zealand
3439,Ok,0,2014,Pitcairn Islands
3449,Ok,100000,2014,Sao Tome and Principe
3274,Bad,-17700000,2014,Albania
3275,Bad,-2011900000,2014,Algeria
3277,Bad,-3680700000,2014,Angola
3281,Bad,-35800000,2014,Armenia
3284,Bad,-6944100000,2014,Austria
3285,Bad,-61600000,2014,Azerbaijan
3288,Bad,-4164200000,2014,Bangladesh
3290,Bad,-38000000,2014,Belarus
3296,Bad,-924800000,2014,Bolivia
3297,Bad,-37200000,2014,Bosnia and Herzegovina
3298,Bad,-265100000,2014,Botswana
3300,Bad,-11900000,2014,British Indian Ocean Territories
3303,Bad,-245600000,2014,Bulgaria
3308,Bad,-2518800000,2014,Cambodia
3310,Bad,-35377200000,2014,Canada
3313,Bad,-2262100000,2014,Chad
3315,Bad,-343078800000,2014,China
3316,Bad,-2100000,2014,Christmas Island
3320,Bad,-102700000,2014,Congo (Brazzaville)
3323,Bad,-2535800000,2014,Costa Rica
3324,Bad,-953400000,2014,Cote d'Ivoire
3325,Bad,-123000000,2014,Croatia
3329,Bad,-2042400000,2014,Czech Republic
3330,Bad,-5143000000,2014,Denmark
3334,Bad,-2692000000,2014,Ecuador
3339,Bad,-254100000,2014,Estonia
3341,Bad,-11900000,2014,Falkland Islands (Islas Malvinas)
3342,Bad,-135700000,2014,Faroe Islands
3343,Bad,-104200000,2014,Fiji
3344,Bad,-2865400000,2014,Finland
3345,Bad,-15573200000,2014,France
3349,Bad,-380700000,2014,Gabon
3353,Bad,-73896300000,2014,Germany
3356,Bad,-274800000,2014,Greece
3361,Bad,-21100000,2014,Guinea
3363,Bad,-131300000,2014,Guyana
3368,Bad,-3440800000,2014,Hungary
3370,Bad,-23636500000,2014,India
3371,Bad,-11076800000,2014,Indonesia
3373,Bad,-11721300000,2014,Iraq
3374,Bad,-26149200000,2014,Ireland
3375,Bad,-7879200000,2014,Israel
3376,Bad,-25147000000,2014,Italy
3378,Bad,-67176300000.00002,2014,Japan
3380,Bad,-401800000,2014,Kazakhstan
3384,Bad,-25047100000,2014,"Korea, South"
3386,Bad,-7788400000,2014,Kuwait
3388,Bad,-4400000,2014,Laos
3391,Bad,-358600000,2014,Lesotho
3394,Bad,-261500000,2014,Liechtenstein
3395,Bad,-412800000,2014,Lithuania
3398,Bad,-133200000,2014,Macedonia
3399,Bad,-168900000,2014,Madagascar
3400,Bad,-15899999.999999993,2014,Malawi
3401,Bad,-17352000000,2014,Malaysia
3408,Bad,-366000000,2014,Mauritius
3410,Bad,-53825400000,2014,Mexico
3412,Bad,-100000,2014,Moldova
3421,Bad,-50300000,2014,Nepal
3425,Bad,-2095000000,2014,Nicaragua
3428,Bad,-100000,2014,Niue
3430,Bad,-935900000,2014,Norway
3432,Bad,-2159600000,2014,Pakistan
3438,Bad,-1690600000.000001,2014,Philippines
3440,Bad,-1491800000,2014,Poland
3441,Bad,-2073400000,2014,Portugal
3443,Bad,-5200000,2014,Reunion
3444,Bad,-1125400000,2014,Romania
3445,Bad,-12905300000,2014,Russia
3446,Bad,-19500000,2014,Rwanda
3448,Bad,-500000,2014,San Marino
3450,Bad,-28335900000,2014,Saudi Arabia
3452,Bad,-143900000,2014,Serbia
3457,Bad,-1655000000,2014,Slovakia
3458,Bad,-398100000,2014,Slovenia
3459,Bad,-2100000,2014,Solomon Islands
3461,Bad,-1948099999.999999,2014,South Africa
3463,Bad,-4215900000,2014,Spain
3464,Bad,-2325700000,2014,Sri Lanka
3465,Bad,-8600000,2014,St Helena
3473,Bad,-55800000,2014,Swaziland
3474,Bad,-5926300000,2014,Sweden
3475,Bad,-9014700000,2014,Switzerland
3476,Bad,-5600000,2014,Syria
3477,Bad,-13911300000,2014,Taiwan
3480,Bad,-15312800000,2014,Thailand
3485,Bad,-3584000000,2014,Trinidad and Tobago
3494,Bad,-568900000,2014,United Kingdom
3499,Bad,-19081500000,2014,Venezuela
3500,Bad,-24854100000,2014,Vietnam
3502,Bad,-2600000,2014,West Bank Administered by Israel
3506,Bad,-16200000.000000007,2014,Zimbabwe
